K_Ax,K_Ay,K_Az,class
2.4793999999999996,6.64048,-0.9845733333333334,0.0
2.9604235294117642,7.803682352941177,-1.152364705882353,0.0
3.2070765342960286,8.317393261131167,-1.2126998796630566,0.0
3.304999461883408,8.57572599103139,-1.2572354080717492,0.0
3.366037056319315,8.738152634290518,-1.2909817240163781,0.0
3.418030288697257,8.797160413001471,-1.2881649410203908,0.0
3.3997165318455655,8.848249178372175,-1.286457958835502,0.0
3.35029409231486,8.906122840545141,-1.3083892953502412,0.0
3.339323859835629,8.960508040150208,-1.3370548413819983,0.0
3.390030491340247,8.978347231920882,-1.3621766708652268,0.0
3.4056346327723985,8.985395053017369,-1.3545339163957608,0.0
3.418972553250514,9.00499471328156,-1.3077906326259392,0.0
3.4156259142834737,9.00929106703978,-1.2716441765965996,0.0
3.425063208211284,9.000432727092567,-1.2840412965080525,0.0
3.4269904747046533,9.010335817438488,-1.2839470971383324,0.0
3.443468579310858,9.050805100905025,-1.3106703091635883,0.0
3.4535138232758507,9.044869208365373,-1.3269610896105595,0.0
3.432856890212942,9.00681837801048,-1.2948082907813354,0.0
3.404960962900205,8.995099557214736,-1.2790333705586814,0.0
3.376477863562162,8.987955625922295,-1.2655909888358956,0.0
3.355288425897218,8.987426405553395,-1.3147834203733888,0.0
3.388280747481394,8.9718005689991,-1.3179910761322728,0.0
3.3930900383380322,8.969926483492763,-1.2969916745678562,0.0
3.3768928168190744,8.949654996901684,-1.2727127784771013,0.0
3.3440639731578217,8.967903694670497,-1.284692707749074,0.0
3.347005949136058,9.013460555628955,-1.303473227132058,0.0
3.352625216789658,9.014451924754104,-1.3187478576891416,0.0
3.3675282018148014,9.00357886189361,-1.2974530175373131,0.0
3.368961628510843,8.985473101332389,-1.2653424098129424,0.0
3.3621838535518296,9.00121624684396,-1.2955028616298074,0.0
3.388658477111831,9.029942476023423,-1.329192246419642,0.0
3.4239267419066954,8.986241453946631,-1.3267748664660926,0.0
3.433949279004087,8.963426599747882,-1.3099979855635397,0.0
3.417104309504211,8.96482161305163,-1.334202840574307,0.0
3.391532199814861,9.019233291097626,-1.3413067969458874,0.0
3.3721173356878444,9.044751683135265,-1.3647664745108476,0.0
3.3832366318310783,9.014398343260142,-1.3369839223983222,0.0
3.3823634771493185,8.995894589200054,-1.2779635025801792,0.0
3.374179582972126,9.019046721962415,-1.2687645891467525,0.0
3.403622824060399,9.021683122041233,-1.2555052142172505,0.0
3.4292233799465346,9.00416128067345,-1.2818543823644961,0.0
3.425700758862396,9.01260878143094,-1.3017429504942473,0.0
3.4273791318852385,9.006281064372018,-1.3368220825958501,0.0
3.3786668307914294,8.99859780901472,-1.3620325397377968,0.0
3.371926063743767,9.005391419085246,-1.385052740596956,0.0
3.3716426170234275,9.013358688318464,-1.3531764739087746,0.0
3.398250455298616,9.010564020848534,-1.34139593448055,0.0
3.3915160810501694,9.001208749807976,-1.3380401830638442,0.0
3.3759333138901204,8.987854057436646,-1.3130396510648097,0.0
3.351130657637075,8.964409661858951,-1.3513602933113205,0.0
3.3780945140984953,8.973072508094285,-1.3173339430149367,0.0
3.3562739551707237,9.008959916484242,-1.3425007311688666,0.0
3.323842863078724,9.000230868864207,-1.3348878757667235,0.0
3.3117240955391694,8.979606320894698,-1.334072793697643,0.0
3.319639569449933,8.993813983888534,-1.3182726924874466,0.0
3.351245566462851,9.01395255602865,-1.346898808312928,0.0
3.355209737525955,8.995622832044875,-1.329917386694207,0.0
